onset	duration	nwb_table	trial_duration
0.0	0.0	trials	5.834
0.0	0.0	trials	6.3385
0.0	0.0	trials	6.367
0.0	0.0	trials	6.574
0.0	0.0	trials	6.4487
0.0	0.0	trials	6.4308
0.0	0.0	trials	6.3671
0.0	0.0	trials	6.4525
0.0	0.0	trials	6.5323
0.0	0.0	trials	5.8177
0.0	0.0	trials	5.8148
0.0	0.0	trials	6.4503
0.0	0.0	trials	7.4192
0.0	0.0	trials	6.4889
0.0	0.0	trials	6.5992
0.0	0.0	trials	6.4497
0.0	0.0	trials	6.4533
0.0	0.0	trials	6.5997
0.0	0.0	trials	6.4854
0.0	0.0	trials	5.814
0.0	0.0	trials	5.815
0.0	0.0	trials	6.4553
0.0	0.0	trials	6.3551
0.0	0.0	trials	5.8127
0.0	0.0	trials	5.8155
0.0	0.0	trials	6.3498
0.0	0.0	trials	5.8156
0.0	0.0	trials	6.5428
0.0	0.0	trials	5.8117
0.0	0.0	trials	5.8122
0.0	0.0	trials	5.8103
0.0	0.0	trials	6.4482
0.0	0.0	trials	6.4557
0.0	0.0	trials	5.8105
0.0	0.0	trials	5.8181
0.0	0.0	trials	5.8153
0.0	0.0	trials	5.8105
0.0	0.0	trials	5.8149
0.0	0.0	trials	5.8125
0.0	0.0	trials	5.8166
0.0	0.0	trials	6.4529
0.0	0.0	trials	5.8107
0.0	0.0	trials	5.8101
0.0	0.0	trials	6.4553
0.0	0.0	trials	6.3485
0.0	0.0	trials	6.456
0.0	0.0	trials	6.4514
0.0	0.0	trials	5.8107
0.0	0.0	trials	5.8098
0.0	0.0	trials	6.4476
0.0	0.0	trials	5.8155
0.0	0.0	trials	5.8106
0.0	0.0	trials	5.8104
0.0	0.0	trials	5.8116
0.0	0.0	trials	5.813
0.0	0.0	trials	5.8136
0.0	0.0	trials	5.8144
0.0	0.0	trials	5.8152
0.0	0.0	trials	6.4514
0.0	0.0	trials	6.449
0.0	0.0	trials	5.8139
0.0	0.0	trials	5.7927
0.0	0.0	trials	5.8179
0.0	0.0	trials	5.8167
0.0	0.0	trials	6.4586
0.0	0.0	trials	5.8143
0.0	0.0	trials	6.4494
0.0	0.0	trials	6.6056
0.0	0.0	trials	5.8186
0.0	0.0	trials	6.4526
0.0	0.0	trials	5.8113
0.0	0.0	trials	5.8136
0.0	0.0	trials	5.8136
0.0	0.0	trials	6.4489
0.0	0.0	trials	5.8119
0.0	0.0	trials	6.568
0.0	0.0	trials	5.8188
0.0	0.0	trials	5.8108
0.0	0.0	trials	5.7936
0.0	0.0	trials	5.8175
0.0	0.0	trials	6.4479
0.0	0.0	trials	6.3575
0.0	0.0	trials	5.8112
0.0	0.0	trials	5.8168
0.0	0.0	trials	5.8162
0.0	0.0	trials	5.8182
0.0	0.0	trials	5.814
0.0	0.0	trials	6.6081
0.0	0.0	trials	5.8169
0.0	0.0	trials	6.4521
0.0	0.0	trials	5.812
0.0	0.0	trials	5.8149
0.0	0.0	trials	5.8132
0.0	0.0	trials	6.4475
0.0	0.0	trials	5.8144
0.0	0.0	trials	6.4508
0.0	0.0	trials	5.8173
0.0	0.0	trials	5.8144
0.0	0.0	trials	5.817
0.0	0.0	trials	5.8149
0.0	0.0	trials	6.4492
0.0	0.0	trials	6.4952
0.0	0.0	trials	5.814
0.0	0.0	trials	7.2519
0.0	0.0	trials	6.496
0.0	0.0	trials	5.817
0.0	0.0	trials	5.8153
0.0	0.0	trials	5.8188
0.0	0.0	trials	7.6748
0.0	0.0	trials	6.5441
0.0	0.0	trials	6.4522
0.0	0.0	trials	6.5605
0.0	0.0	trials	6.603
0.0	0.0	trials	6.6043
0.0	0.0	trials	6.4528
0.0	0.0	trials	6.6333
0.0	0.0	trials	6.3907
0.0	0.0	trials	6.3896
0.0	0.0	trials	6.7347
0.0	0.0	trials	6.4499
0.0	0.0	trials	6.5276
0.0	0.0	trials	6.451
0.0	0.0	trials	6.2062
0.0	0.0	trials	6.6028
0.0	0.0	trials	6.4893
0.0	0.0	trials	6.5453
0.0	0.0	trials	6.1317
0.0	0.0	trials	6.4494
0.0	0.0	trials	7.0079
0.0	0.0	trials	6.4505
0.0	0.0	trials	6.6059
0.0	0.0	trials	7.0326
0.0	0.0	trials	6.579
0.0	0.0	trials	6.4532
0.0	0.0	trials	6.5594
0.0	0.0	trials	6.6673
0.0	0.0	trials	5.8103
0.0	0.0	trials	6.4931
0.0	0.0	trials	6.4539
0.0	0.0	trials	6.4493
0.0	0.0	trials	6.609
0.0	0.0	trials	5.8142
0.0	0.0	trials	6.4903
0.0	0.0	trials	6.4586
0.0	0.0	trials	6.3676
0.0	0.0	trials	6.4515
0.0	0.0	trials	6.4931
0.0	0.0	trials	5.8109
0.0	0.0	trials	5.8112
0.0	0.0	trials	5.8128
0.0	0.0	trials	6.4529
0.0	0.0	trials	6.9029
0.0	0.0	trials	5.8144
0.0	0.0	trials	5.8194
0.0	0.0	trials	6.5643
0.0	0.0	trials	6.4486
0.0	0.0	trials	7.1249
0.0	0.0	trials	6.4916
0.0	0.0	trials	6.7218
0.0	0.0	trials	6.4505
0.0	0.0	trials	6.7677
0.0	0.0	trials	6.4496
0.0	0.0	trials	6.6138
0.0	0.0	trials	6.8849
0.0	0.0	trials	5.8192
0.0	0.0	trials	5.8129
0.0	0.0	trials	5.8163
0.0	0.0	trials	6.4923
0.0	0.0	trials	6.4536
0.0	0.0	trials	7.6008
0.0	0.0	trials	6.4531
0.0	0.0	trials	6.4927
0.0	0.0	trials	7.3458
0.0	0.0	trials	6.6299
0.0	0.0	trials	6.4551
0.0	0.0	trials	6.4522
0.0	0.0	trials	6.5792
0.0	0.0	trials	6.4495
0.0	0.0	trials	6.6055
0.0	0.0	trials	6.9657
0.0	0.0	trials	6.493
0.0	0.0	trials	6.4993
0.0	0.0	trials	9.738
0.0	0.0	trials	6.6057
0.0	0.0	trials	6.8203
0.0	0.0	trials	5.8152
0.0	0.0	trials	6.4559
0.0	0.0	trials	6.6252
0.0	0.0	trials	6.4499
0.0	0.0	trials	7.4932
0.0	0.0	trials	6.4938
0.0	0.0	trials	6.4581
0.0	0.0	trials	6.4971
0.0	0.0	trials	6.6349
0.0	0.0	trials	6.4499
0.0	0.0	trials	6.6309
0.0	0.0	trials	6.7237
0.0	0.0	trials	6.4527
0.0	0.0	trials	6.959
0.0	0.0	trials	6.5313
0.0	0.0	trials	6.4489
0.0	0.0	trials	6.6716
0.0	0.0	trials	6.6247
0.0	0.0	trials	7.0295
0.0	0.0	trials	6.6059
0.0	0.0	trials	6.4516
0.0	0.0	trials	6.452
0.0	0.0	trials	6.8981
0.0	0.0	trials	6.6667
0.0	0.0	trials	6.454
0.0	0.0	trials	6.6061
0.0	0.0	trials	6.4587
0.0	0.0	trials	6.574
0.0	0.0	trials	7.0771
0.0	0.0	trials	6.4534
0.0	0.0	trials	7.0604
0.0	0.0	trials	6.4556
0.0	0.0	trials	6.988
0.0	0.0	trials	6.4906
0.0	0.0	trials	6.4567
0.0	0.0	trials	6.5629
0.0	0.0	trials	6.6125
0.0	0.0	trials	6.605
0.0	0.0	trials	6.458
0.0	0.0	trials	6.7331
0.0	0.0	trials	6.6344
0.0	0.0	trials	6.4586
0.0	0.0	trials	5.9539
0.0	0.0	trials	6.7283
0.0	0.0	trials	6.4487
0.0	0.0	trials	6.4584
0.0	0.0	trials	6.6717
0.0	0.0	trials	6.4521
0.0	0.0	trials	6.6175
0.0	0.0	trials	6.4565
0.0	0.0	trials	6.6101
0.0	0.0	trials	6.4307
0.0	0.0	trials	9.738
0.0	0.0	trials	7.2006
0.0	0.0	trials	6.493
0.0	0.0	trials	6.9609
0.0	0.0	trials	6.7233
0.0	0.0	trials	6.4551
0.0	0.0	trials	6.8864
0.0	0.0	trials	6.4485
0.0	0.0	trials	6.6044
0.0	0.0	trials	6.4575
0.0	0.0	trials	7.7257
0.0	0.0	trials	6.4516
0.0	0.0	trials	6.849
0.0	0.0	trials	6.666
0.0	0.0	trials	6.6525
0.0	0.0	trials	6.6284
0.0	0.0	trials	6.5305
0.0	0.0	trials	6.6041
0.0	0.0	trials	6.4529
0.0	0.0	trials	6.6685
0.0	0.0	trials	6.455
0.0	0.0	trials	6.6219
0.0	0.0	trials	6.4884
0.0	0.0	trials	6.4521
0.0	0.0	trials	6.4561
0.0	0.0	trials	6.6699
0.0	0.0	trials	6.6284
0.0	0.0	trials	7.2082
0.0	0.0	trials	6.4966
0.0	0.0	trials	6.7291
0.0	0.0	trials	6.45
0.0	0.0	trials	7.4699
0.0	0.0	trials	6.4565
0.0	0.0	trials	6.511
0.0	0.0	trials	6.4509
0.0	0.0	trials	6.5404
0.0	0.0	trials	8.0799
0.0	0.0	trials	6.4575
0.0	0.0	trials	6.5654
0.0	0.0	trials	6.4544
0.0	0.0	trials	6.6685
0.0	0.0	trials	6.5876
0.0	0.0	trials	6.4591
0.0	0.0	trials	6.4497
0.0	0.0	trials	6.6659
0.0	0.0	trials	6.628
0.0	0.0	trials	6.4499
0.0	0.0	trials	6.4896
0.0	0.0	trials	6.7247
0.0	0.0	trials	6.3254
0.0	0.0	trials	6.494
0.0	0.0	trials	6.5303
0.0	0.0	trials	6.4989
0.0	0.0	trials	6.9579
0.0	0.0	trials	6.4516
0.0	0.0	trials	6.6061
0.0	0.0	trials	7.2653
0.0	0.0	trials	6.6735
0.0	0.0	trials	6.4533
0.0	0.0	trials	6.4555
0.0	0.0	trials	6.6694
0.0	0.0	trials	6.6025
0.0	0.0	trials	6.9397
0.0	0.0	trials	6.5345
0.0	0.0	trials	6.455
0.0	0.0	trials	6.9912
0.0	0.0	trials	6.4524
0.0	0.0	trials	6.6196
0.0	0.0	trials	6.4535
0.0	0.0	trials	7.4597
0.0	0.0	trials	6.6253
0.0	0.0	trials	6.6666
0.0	0.0	trials	6.63
0.0	0.0	trials	6.451
0.0	0.0	trials	6.7597
0.0	0.0	trials	6.4523
0.0	0.0	trials	6.6151
0.0	0.0	trials	6.4571
0.0	0.0	trials	6.5874
0.0	0.0	trials	6.4487
0.0	0.0	trials	6.4505
0.0	0.0	trials	7.0972
0.0	0.0	trials	7.4514
0.0	0.0	trials	6.4519
0.0	0.0	trials	6.6105
0.0	0.0	trials	6.4923
0.0	0.0	trials	6.5624
0.0	0.0	trials	6.4512
0.0	0.0	trials	6.4537
0.0	0.0	trials	6.6683
0.0	0.0	trials	6.5419
0.0	0.0	trials	6.8707
0.0	0.0	trials	6.7243
0.0	0.0	trials	6.9362
0.0	0.0	trials	6.451
0.0	0.0	trials	7.1298
0.0	0.0	trials	6.4326
0.0	0.0	trials	6.4482
0.0	0.0	trials	7.1233
0.0	0.0	trials	6.6739
0.0	0.0	trials	6.7198
0.0	0.0	trials	6.8441
0.0	0.0	trials	6.4549
0.0	0.0	trials	6.6105
0.0	0.0	trials	9.738
0.0	0.0	trials	6.6065
0.0	0.0	trials	6.6297
0.0	0.0	trials	6.6489
0.0	0.0	trials	6.4513
0.0	0.0	trials	6.6073
0.0	0.0	trials	6.4498
0.0	0.0	trials	6.4491
0.0	0.0	trials	9.738
0.0	0.0	trials	6.887
0.0	0.0	trials	6.4551
0.0	0.0	trials	6.5403
0.0	0.0	trials	6.612
0.0	0.0	trials	6.6568
0.0	0.0	trials	6.4574
0.0	0.0	trials	6.4528
0.0	0.0	trials	6.7709
0.0	0.0	trials	6.5605
