session_id	original_session_id
ses-20220104+20220104+210910+s1+p1	ses-20220104_20220104_210910_s1_p1
ses-20220104+20220104+210910+s1+p2	ses-20220104_20220104_210910_s1_p2
ses-20220105+20220105+134957+s2+p1	ses-20220105_20220105_134957_s2_p1
ses-20220106+20220106+124840+s3+p1	ses-20220106_20220106_124840_s3_p1
ses-20220106+20220106+124840+s3+p2	ses-20220106_20220106_124840_s3_p2
ses-20220107+20220107+120736+s4+p1	ses-20220107_20220107_120736_s4_p1
ses-20220109+20220109+174047+s5+p1	ses-20220109_20220109_174047_s5_p1
ses-20220109+20220109+174047+s5+p2	ses-20220109_20220109_174047_s5_p2
ses-20220110+20220110+141133+s6+p1	ses-20220110_20220110_141133_s6_p1
ses-20220110+20220110+141133+s6+p2	ses-20220110_20220110_141133_s6_p2
ses-20220111+20220111+131653+s7+p1	ses-20220111_20220111_131653_s7_p1
ses-20220111+20220111+131653+s7+p2	ses-20220111_20220111_131653_s7_p2
ses-20220112+20220112+133301+s8+p1	ses-20220112_20220112_133301_s8_p1
ses-20220112+20220112+133301+s8+p2	ses-20220112_20220112_133301_s8_p2
ses-20220113+20220113+115659+s9+p1	ses-20220113_20220113_115659_s9_p1
ses-20220113+20220113+115659+s9+p2	ses-20220113_20220113_115659_s9_p2
